,CholeskyCMAES,CholeskyCMAES_Aupdate1,pycma,pycmaDiagonal,netname,layername,channum,noise_level,RND,expdir
63,7.937082829076117e-12,2.922043930946686e-10,7.1291509971886e-08,0.00016058464513170039,alexnet,.classifier.ReLU5,13,0.0,32429,alexnet_.classifier.ReLU5_013
64,7.88930408467258e-12,2.857534614957025e-10,7.125866240948572e-08,0.00017275963787045625,alexnet,.classifier.ReLU5,14,0.0,67460,alexnet_.classifier.ReLU5_014
65,7.224705613296607e-12,2.784051382557684e-10,7.11172067064485e-08,0.00016994671378001055,alexnet,.classifier.ReLU5,15,0.0,5234,alexnet_.classifier.ReLU5_015
66,8.343720638601039e-12,2.84255486921456e-10,7.146718206325863e-08,0.00016171320366007122,alexnet,.classifier.ReLU5,16,0.0,798,alexnet_.classifier.ReLU5_016
67,7.63547968851913e-12,2.9408924158421123e-10,7.132988621034417e-08,0.00016327211626480215,alexnet,.classifier.ReLU5,17,0.0,10620,alexnet_.classifier.ReLU5_017
68,7.967461489063812e-12,2.7746471255316837e-10,7.129119913569843e-08,0.00016732471821808602,alexnet,.classifier.ReLU5,18,0.0,80107,alexnet_.classifier.ReLU5_018
69,7.740194928504104e-12,2.901223953656464e-10,7.117439762002041e-08,0.000166294504037366,alexnet,.classifier.ReLU5,19,0.0,67843,alexnet_.classifier.ReLU5_019
70,8.192798275621355e-12,2.7807983759558344e-10,7.121176945185058e-08,0.0001895582443105018,alexnet,.classifier.ReLU5,20,0.0,24826,alexnet_.classifier.ReLU5_020
71,8.567661508152201e-12,2.9058579720554585e-10,7.142278237071041e-08,0.00018913849272932567,alexnet,.classifier.ReLU5,21,0.0,75232,alexnet_.classifier.ReLU5_021
72,8.081025297466162e-12,2.962495663885628e-10,7.141782809583979e-08,0.0001461195343111366,alexnet,.classifier.ReLU5,22,0.0,70521,alexnet_.classifier.ReLU5_022
73,7.796621298769156e-12,2.8735589728919184e-10,7.1370946199735e-08,0.0001981067490378259,alexnet,.classifier.ReLU5,23,0.0,64381,alexnet_.classifier.ReLU5_023
74,8.033867881418099e-12,2.835536719612244e-10,7.123327722039829e-08,0.00016586342991997758,alexnet,.classifier.ReLU5,24,0.0,11712,alexnet_.classifier.ReLU5_024
75,8.161843499185933e-12,2.7326387773041783e-10,7.135373808230998e-08,0.0001386136566840189,alexnet,.features.ReLU11,0,0.0,1589,alexnet_.features.ReLU11_000
76,8.048615598666812e-12,2.9181749635791876e-10,7.135754076299223e-08,0.00013155476928892847,alexnet,.features.ReLU11,1,0.0,10780,alexnet_.features.ReLU11_001
77,7.959766912558032e-12,3.099154647057237e-10,7.150631380248391e-08,0.00015062784947044586,alexnet,.features.ReLU11,2,0.0,19205,alexnet_.features.ReLU11_002
78,8.018996293237513e-12,2.8283844439702067e-10,7.154253386159368e-08,0.0001552644446578628,alexnet,.features.ReLU11,3,0.0,3632,alexnet_.features.ReLU11_003
79,8.121559408997255e-12,3.0030066523886154e-10,7.143615071387581e-08,0.00015699742073472562,alexnet,.features.ReLU11,4,0.0,63616,alexnet_.features.ReLU11_004
80,8.356607552554599e-12,2.879266146681862e-10,7.13307624529484e-08,0.00015721247402413377,alexnet,.features.ReLU11,5,0.0,45727,alexnet_.features.ReLU11_005
81,7.510276399074262e-12,2.863219225326692e-10,7.151265407714268e-08,0.00014731306805413363,alexnet,.features.ReLU11,6,0.0,24140,alexnet_.features.ReLU11_006
82,7.96626453522391e-12,2.749912146360714e-10,7.14344376362105e-08,0.0001669094647322867,alexnet,.features.ReLU11,7,0.0,15295,alexnet_.features.ReLU11_007
83,7.969636389192974e-12,2.9558952575403067e-10,7.155357404980293e-08,0.00014868574969352966,alexnet,.features.ReLU11,8,0.0,43346,alexnet_.features.ReLU11_008
84,8.556587499651318e-12,2.8667532453134267e-10,7.142644925681968e-08,0.00014620703420535315,alexnet,.features.ReLU11,9,0.0,11353,alexnet_.features.ReLU11_009
85,8.26837966999284e-12,3.0479557735475026e-10,7.142713028485524e-08,0.00014293739803633712,alexnet,.features.ReLU11,10,0.0,28127,alexnet_.features.ReLU11_010
86,8.288160428870383e-12,2.994352736757146e-10,7.147225902077174e-08,0.0001349294546530299,alexnet,.features.ReLU11,11,0.0,19779,alexnet_.features.ReLU11_011
87,8.392121241219947e-12,2.654955633926401e-10,7.11503576788635e-08,0.00018404945948024193,alexnet,.features.ReLU11,12,0.0,77421,alexnet_.features.ReLU11_012
