,CholeskyCMAES,CholeskyCMAES_Aupdate1,pycma,pycmaDiagonal,netname,layername,channum,noise_level,RND,expdir
46,1.0001776310959034,1.0010301694640704,1.0026936106916546,1.0538771236308375,alexnet,.classifier.ReLU2,21,0.0,54563,alexnet_.classifier.ReLU2_021
47,1.0001821449487691,1.00104135728148,1.0026900759502957,1.1108420348069015,alexnet,.classifier.ReLU2,22,0.0,1893,alexnet_.classifier.ReLU2_022
48,1.000177375644244,1.0010445258540592,1.002793460096755,1.0545830218682788,alexnet,.classifier.ReLU2,23,0.0,7264,alexnet_.classifier.ReLU2_023
49,1.000174153791725,1.0010243590935963,1.0027908889506174,1.1422054173541054,alexnet,.classifier.ReLU2,24,0.0,89251,alexnet_.classifier.ReLU2_024
50,1.000172324156449,1.001044807890401,1.0027656654342203,1.0496523405326919,alexnet,.classifier.ReLU5,0,0.0,28989,alexnet_.classifier.ReLU5_000
51,1.0001701472089657,1.001045546828041,1.002742958916725,1.113016760184167,alexnet,.classifier.ReLU5,1,0.0,41913,alexnet_.classifier.ReLU5_001
52,1.000180783548877,1.0010343154682477,1.002745317105475,1.1789503360185394,alexnet,.classifier.ReLU5,2,0.0,91423,alexnet_.classifier.ReLU5_002
53,1.0001750273836352,1.0010103237472447,1.00274733113468,1.0686866173851703,alexnet,.classifier.ReLU5,3,0.0,60957,alexnet_.classifier.ReLU5_003
54,1.0001765843672905,1.0010805533626579,1.0027837048582338,1.1263397302087408,alexnet,.classifier.ReLU5,4,0.0,2299,alexnet_.classifier.ReLU5_004
55,1.0001729553905427,1.0010550027690768,1.002703648170095,1.1194554842624984,alexnet,.classifier.ReLU5,5,0.0,34550,alexnet_.classifier.ReLU5_005
56,1.0001734005111886,1.000980657904368,1.0026864751843574,1.067892441700628,alexnet,.classifier.ReLU5,6,0.0,88599,alexnet_.classifier.ReLU5_006
57,1.000173778966161,1.001041606034852,1.0027891064689445,1.1541078037223733,alexnet,.classifier.ReLU5,7,0.0,16403,alexnet_.classifier.ReLU5_007
58,1.000172467538317,1.0009935956177198,1.002810942207966,1.0531940255026677,alexnet,.classifier.ReLU5,8,0.0,35527,alexnet_.classifier.ReLU5_008
